Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Remodel Age,Price per SqFt,Risk Level
196,903227020,50,5,50.0,6000,1,2,3,3,0,4,0,3,2,2,0,0,6,6,1940,1950,1,0,8,8,3,0.0,3,2,1,4,4,3,3,264.0,5,0.0,308.0,572.0,1,0,1,0,848,348,0,1196,0.0,1.0,1,1,3,1,4,6,7,2,2,5,1973.0,2,2.0,576.0,4,4,2,0,0,0,0,0,0,3,4,3,0,3,2010,9,4,128000,70,60,107.02341137123746,Medium Risk
197,903227150,50,5,53.0,6360,1,2,3,3,0,0,0,3,1,2,0,0,5,6,1942,1950,1,0,8,8,2,300.0,3,4,1,4,4,3,4,360.0,3,159.0,316.0,835.0,1,4,1,0,955,498,0,1453,0.0,0.0,1,1,3,1,2,7,3,2,1,5,1942.0,2,1.0,240.0,4,4,2,0,0,35,0,148,0,3,4,3,0,3,2010,9,4,132000,68,60,90.84652443220922,High Risk
198,903228150,50,5,50.0,6000,1,2,3,3,0,4,0,3,2,2,0,0,6,7,1948,1950,1,0,13,14,3,0.0,3,4,1,4,4,3,4,300.0,5,0.0,480.0,780.0,1,4,1,4,780,636,0,1416,0.0,0.0,1,1,3,1,4,6,7,0,5,5,1948.0,2,1.0,312.0,4,4,1,221,0,48,0,0,0,3,4,3,0,3,2010,9,4,139900,62,60,98.79943502824858,Medium Risk
199,903232190,50,5,52.0,6240,1,2,3,3,0,4,0,3,2,2,0,0,5,7,1936,1980,1,0,12,13,3,0.0,3,4,1,4,1,3,4,276.0,5,0.0,252.0,528.0,1,2,1,4,548,492,0,1040,0.0,0.0,1,0,2,1,4,5,7,0,5,5,1979.0,0,2.0,624.0,4,4,1,306,0,32,0,0,0,3,4,3,0,5,2010,9,4,123900,74,30,119.1346153846154,Medium Risk
200,903233120,50,5,52.0,6240,1,2,3,3,0,4,0,3,2,2,0,0,5,5,1930,1950,1,0,8,8,3,0.0,3,4,0,4,4,3,3,448.0,5,0.0,480.0,928.0,1,4,1,1,928,608,0,1536,0.0,0.0,2,0,4,1,4,7,7,1,2,5,1930.0,2,2.0,480.0,4,4,2,0,10,0,0,0,0,3,2,3,0,3,2010,9,4,138400,80,60,90.10416666666669,High Risk
201,903234050,30,5,51.0,6120,1,2,3,3,0,4,0,20,0,2,0,2,6,5,1923,1950,1,0,13,14,3,0.0,3,4,0,1,1,3,0,960.0,5,0.0,164.0,1124.0,1,4,1,4,1068,0,0,1068,1.0,0.0,1,0,2,1,4,5,7,1,2,5,1923.0,2,1.0,288.0,4,4,2,0,0,128,0,0,0,3,4,3,0,3,2010,9,4,109500,87,60,102.52808988764043,High Risk
202,903425110,70,5,50.0,10300,1,2,0,0,0,4,0,20,6,1,0,5,7,6,1921,1950,1,0,11,12,3,0.0,3,4,0,4,4,3,5,0.0,5,0.0,576.0,576.0,1,2,1,4,902,808,0,1710,0.0,0.0,2,0,3,1,4,9,7,0,5,5,1990.0,2,2.0,480.0,4,4,2,12,11,64,0,0,0,3,0,3,0,4,2010,9,4,140000,89,60,81.87134502923976,High Risk
203,903426180,50,5,57.0,8094,1,0,3,3,0,4,0,20,2,2,0,0,4,5,1915,1950,1,0,8,8,3,0.0,3,1,1,4,4,3,5,0.0,5,0.0,888.0,888.0,1,0,1,4,888,1074,0,1962,0.0,0.0,1,1,4,1,4,9,7,1,4,5,1915.0,2,2.0,572.0,4,4,2,160,0,364,0,0,0,3,0,3,0,6,2010,9,4,149500,95,60,76.19775739041795,High Risk
204,903426200,70,5,60.0,12900,1,0,3,3,0,4,0,20,2,2,0,5,6,8,1912,2009,1,0,13,14,3,0.0,2,2,2,4,4,3,5,0.0,5,0.0,780.0,780.0,1,0,1,4,780,780,0,1560,0.0,0.0,1,1,3,1,2,7,7,0,5,6,0.0,3,0.0,0.0,5,5,0,344,0,0,0,168,0,3,4,3,0,5,2010,9,4,159900,98,1,102.5,Medium Risk
205,903430080,70,5,52.0,3068,1,0,3,3,0,4,0,20,2,2,0,5,6,8,1920,1993,1,0,12,13,3,0.0,3,2,0,4,4,3,5,0.0,5,0.0,662.0,662.0,1,0,1,4,662,662,0,1324,0.0,1.0,1,0,3,1,4,6,7,0,5,5,1920.0,2,1.0,180.0,4,4,2,0,0,112,0,0,0,3,0,3,0,2,2010,9,4,122000,90,17,92.1450151057402,Medium Risk
206,903450110,90,5,110.0,8472,0,2,1,0,0,0,1,11,8,2,2,2,5,5,1963,1963,1,0,13,14,3,0.0,1,4,1,2,4,1,3,104.0,2,712.0,0.0,816.0,1,4,0,4,816,0,0,816,1.0,0.0,1,0,2,1,4,5,7,0,5,4,1963.0,2,2.0,516.0,4,4,2,106,0,0,0,0,0,3,4,3,0,5,2010,9,4,110000,47,47,134.80392156862746,Medium Risk
207,903454060,190,5,70.0,5600,1,2,3,3,0,4,0,11,2,2,1,5,4,5,1930,1950,3,0,12,15,3,0.0,1,1,3,5,5,4,6,0.0,6,0.0,0.0,0.0,1,1,0,4,372,720,0,1092,0.0,0.0,2,0,3,2,1,7,4,0,5,6,0.0,3,0.0,0.0,5,5,0,0,0,0,0,0,0,3,4,1,3500,7,2010,9,4,55000,80,60,50.366300366300365,High Risk
208,903476030,190,5,76.0,7630,1,2,3,3,0,4,0,20,1,2,1,5,5,9,1900,1996,1,0,13,14,3,0.0,3,2,0,2,4,3,5,0.0,5,0.0,360.0,360.0,1,2,1,4,1032,780,0,1812,0.0,0.0,2,0,4,2,2,8,7,1,3,5,1999.0,2,2.0,672.0,4,4,0,344,0,40,0,0,0,3,2,3,0,5,2010,9,4,140000,110,14,77.2626931567329,Medium Risk
210,904101110,20,4,100.0,15263,1,2,0,3,0,4,0,4,1,2,0,2,5,5,1959,1959,1,0,6,6,1,90.0,3,4,1,2,4,3,4,766.0,5,0.0,656.0,1422.0,1,2,1,4,1675,0,0,1675,0.0,0.0,2,0,3,1,4,8,7,2,2,1,1959.0,2,1.0,365.0,4,4,2,0,132,0,0,0,0,3,4,3,0,5,2010,9,4,173000,51,51,103.28358208955224,High Risk
211,904300150,50,4,72.0,10632,1,2,0,3,0,4,0,4,2,2,0,0,5,3,1917,1950,1,0,13,14,3,0.0,3,4,0,2,1,3,5,0.0,5,0.0,689.0,689.0,1,2,0,4,725,499,0,1224,0.0,0.0,1,1,3,1,3,6,4,0,5,5,1917.0,2,1.0,180.0,1,1,0,0,0,248,0,0,0,3,4,3,0,1,2010,0,4,107500,93,60,87.82679738562092,High Risk
212,904302260,190,4,60.0,9900,1,2,3,3,0,4,0,21,2,2,1,0,5,4,1915,1950,1,0,13,15,3,0.0,1,1,0,4,4,3,4,1026.0,5,0.0,186.0,1212.0,1,4,0,4,1212,180,0,1392,1.0,0.0,1,0,3,1,4,6,7,0,5,6,0.0,3,0.0,0.0,5,5,0,0,0,168,0,0,0,3,4,3,0,2,2010,3,4,100000,95,60,71.83908045977012,High Risk
213,904350045,50,4,65.0,6001,1,2,0,0,0,4,1,21,2,2,0,0,6,5,1940,1950,1,0,12,13,3,0.0,3,4,1,1,4,3,3,368.0,5,0.0,232.0,600.0,1,0,0,4,600,319,0,919,0.0,0.0,1,0,3,1,4,5,7,0,5,5,1940.0,2,1.0,231.0,4,4,2,0,0,45,0,0,0,3,2,3,0,3,2010,9,4,95000,70,60,103.37323177366704,High Risk
214,904351040,70,1,60.0,6449,1,2,0,3,0,4,0,21,2,2,0,5,4,1,1907,1950,2,0,13,12,3,0.0,3,4,1,4,4,3,4,73.0,5,0.0,634.0,707.0,2,4,0,4,942,942,0,1884,0.0,0.0,1,1,4,1,4,7,7,0,5,6,0.0,3,0.0,0.0,5,5,0,0,0,239,0,0,0,3,4,3,0,3,2010,9,0,93369,103,60,49.55891719745223,High Risk
215,904352190,190,3,60.0,6048,1,2,3,3,0,0,0,21,0,2,1,0,5,7,1910,1950,1,0,13,14,3,0.0,3,2,0,4,4,2,3,736.0,5,0.0,120.0,856.0,1,2,1,4,936,744,0,1680,1.0,0.0,2,0,2,2,4,7,7,1,2,5,1910.0,2,2.0,450.0,4,1,1,56,144,0,0,0,0,3,4,3,0,6,2010,0,4,114900,100,60,68.39285714285714,High Risk
216,905101100,50,4,54.0,6342,1,2,3,3,0,4,0,22,1,2,0,0,5,8,1875,1996,1,0,12,13,3,0.0,3,2,1,4,4,3,5,0.0,5,0.0,780.0,780.0,1,2,0,4,780,240,0,1020,0.0,0.0,1,0,2,1,4,6,7,0,5,6,0.0,3,0.0,0.0,5,5,0,0,0,176,0,0,0,3,4,3,0,5,2010,9,4,94000,135,14,92.15686274509804,Medium Risk
217,905101300,90,4,72.0,10773,1,2,3,3,0,4,0,22,2,2,2,2,4,3,1967,1967,1,2,9,10,1,72.0,1,1,1,4,4,3,0,704.0,5,0.0,1128.0,1832.0,1,4,0,4,1832,0,0,1832,2.0,0.0,2,0,4,2,4,8,7,0,5,6,0.0,3,0.0,0.0,5,5,2,0,58,0,0,0,0,3,4,3,0,5,2010,9,4,136000,43,43,74.23580786026201,High Risk
218,905101310,90,4,72.0,10778,1,2,3,3,0,4,0,22,2,2,2,2,4,5,1968,1968,3,0,6,6,3,0.0,3,4,1,4,4,3,5,0.0,5,0.0,1768.0,1768.0,1,4,0,4,1768,0,0,1768,0.0,0.0,2,0,4,2,4,8,7,0,5,6,0.0,3,0.0,0.0,5,5,2,0,0,0,0,0,0,3,4,3,0,4,2010,9,4,136500,42,42,77.20588235294117,High Risk
219,905102060,190,4,75.0,11625,1,2,3,3,0,4,0,22,2,2,1,2,5,4,1965,1965,3,0,9,6,3,0.0,3,4,2,4,4,2,1,841.0,5,0.0,198.0,1039.0,1,0,1,4,1039,0,0,1039,1.0,0.0,1,1,3,1,4,6,7,0,5,1,1965.0,2,2.0,504.0,4,4,2,0,0,0,0,0,0,3,4,3,0,4,2010,9,4,131500,45,45,126.56400384985562,High Risk
220,905103060,20,4,72.0,11341,1,2,0,3,0,4,0,22,2,2,0,2,5,6,1957,1996,3,0,13,14,1,180.0,3,4,1,2,4,3,0,1302.0,5,0.0,90.0,1392.0,1,4,1,4,1392,0,0,1392,1.0,0.0,1,1,3,1,4,5,4,1,2,5,1957.0,2,2.0,528.0,4,4,2,0,0,0,0,95,0,3,4,3,0,5,2010,9,4,121500,53,14,87.28448275862068,High Risk
221,905104210,20,4,70.0,8521,1,2,3,3,0,2,0,22,1,2,0,2,5,5,1967,1967,1,0,6,6,3,0.0,3,4,1,4,4,3,0,842.0,5,0.0,70.0,912.0,1,4,1,4,912,0,0,912,0.0,0.0,1,0,3,1,4,5,7,1,1,5,1974.0,2,1.0,336.0,4,4,2,0,0,0,0,0,0,3,2,3,0,5,2010,9,4,125000,43,43,137.06140350877192,Medium Risk
222,905105070,20,4,72.0,8246,1,2,0,3,0,4,0,22,2,2,0,2,5,8,1968,2001,1,0,9,10,3,0.0,3,2,1,4,4,2,4,188.0,0,668.0,204.0,1060.0,1,0,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,7,1,4,1,1968.0,2,1.0,270.0,4,4,2,406,90,0,0,0,0,3,2,3,0,5,2010,9,4,154000,42,9,145.28301886792454,Medium Risk
223,905105200,20,4,65.0,7800,1,2,3,3,0,4,0,22,2,2,0,2,5,7,1966,2008,3,0,6,6,1,47.0,3,4,1,4,4,2,1,240.0,4,474.0,150.0,864.0,1,0,1,4,892,0,0,892,1.0,0.0,1,0,3,1,2,5,7,0,5,5,1966.0,2,1.0,416.0,4,4,2,0,0,0,0,0,0,3,4,3,0,6,2010,9,4,137900,44,2,154.59641255605382,Medium Risk
224,905106140,60,4,80.0,9364,1,2,3,3,0,0,0,22,2,2,0,5,6,7,1969,1969,1,0,6,6,2,143.0,3,4,1,4,4,3,0,371.0,5,0.0,292.0,663.0,1,4,1,4,663,689,0,1352,0.0,0.0,1,1,4,1,4,7,7,0,5,1,1969.0,0,1.0,299.0,4,4,2,379,36,0,0,0,0,3,2,3,0,3,2010,9,4,158000,41,41,116.86390532544378,Medium Risk
225,905106170,20,4,65.0,7832,1,2,3,3,0,4,0,22,2,2,0,2,5,5,1968,1968,3,0,6,6,3,0.0,3,4,1,4,4,3,2,775.0,5,0.0,89.0,864.0,1,0,1,4,864,0,0,864,1.0,0.0,1,0,2,1,4,4,7,0,5,5,1969.0,2,1.0,280.0,4,4,2,226,0,0,0,0,0,3,4,3,0,5,2010,9,4,137250,42,42,158.85416666666666,Medium Risk
226,905107110,90,4,72.0,7424,1,2,0,3,0,4,0,22,2,2,2,6,5,5,1978,1978,1,0,9,10,3,0.0,3,4,1,2,4,0,2,1319.0,5,0.0,0.0,1319.0,1,4,1,4,1373,0,0,1373,1.0,0.0,1,0,3,1,4,5,7,2,4,1,1978.0,0,2.0,591.0,4,4,2,0,0,0,0,0,0,3,4,3,0,5,2010,9,4,160250,32,32,116.71522214129644,High Risk
227,905107250,60,4,86.0,11227,1,2,3,3,0,4,0,22,2,2,0,5,5,5,1968,1968,1,0,6,6,3,0.0,3,2,1,4,2,3,4,267.0,0,453.0,0.0,720.0,1,0,1,4,720,720,0,1440,0.0,0.0,1,1,4,1,4,7,7,2,4,1,1968.0,2,2.0,480.0,4,4,2,192,38,0,0,0,0,3,2,3,0,3,2010,9,4,163000,42,42,113.19444444444444,High Risk
228,905107320,60,4,72.0,11616,1,2,0,3,0,1,0,22,2,2,0,5,6,5,1978,1978,3,0,6,6,0,328.0,3,4,1,4,4,2,4,438.0,5,0.0,234.0,672.0,1,4,1,4,672,714,0,1386,0.0,0.0,2,1,3,1,4,6,7,1,4,1,1978.0,0,2.0,440.0,4,4,2,335,0,0,0,0,0,3,0,3,0,4,2010,9,0,158900,32,32,114.64646464646464,High Risk
229,905109130,60,4,80.0,14000,1,2,3,3,0,4,1,4,2,2,0,5,7,5,1996,1997,1,0,13,14,3,0.0,2,4,2,0,4,1,2,1201.0,5,0.0,105.0,1306.0,1,0,1,4,1306,954,0,2260,1.0,0.0,2,1,3,1,2,7,7,0,5,1,1996.0,1,2.0,533.0,4,4,2,296,44,0,0,0,0,3,4,3,0,4,2010,9,4,328000,14,13,145.13274336283186,Low Risk
231,905201030,30,4,94.0,9259,1,2,3,3,0,0,0,22,1,2,0,2,4,4,1927,1950,1,0,13,14,3,0.0,3,4,0,1,4,3,5,0.0,5,0.0,660.0,660.0,1,4,0,4,756,0,0,756,0.0,0.0,1,0,2,1,4,4,7,0,5,5,1945.0,2,2.0,440.0,4,4,0,80,0,0,0,0,0,3,4,3,0,6,2010,9,4,85000,83,60,112.43386243386244,High Risk
232,905202090,20,4,60.0,9600,1,2,3,3,0,4,0,22,2,2,0,2,4,7,1950,1995,1,0,12,6,3,0.0,3,4,1,2,4,3,1,442.0,5,0.0,625.0,1067.0,1,4,1,4,1067,0,0,1067,0.0,0.0,2,0,2,1,2,4,3,0,5,1,1996.0,2,2.0,436.0,4,4,2,290,0,0,0,0,0,3,4,3,0,2,2010,9,4,128000,60,15,119.96251171508904,Medium Risk
234,905352140,60,4,80.5,17082,1,2,0,2,0,1,1,4,2,2,0,5,6,5,1978,1992,1,0,12,13,1,288.0,3,4,2,2,4,0,0,964.0,5,0.0,153.0,1117.0,1,0,1,4,1117,864,0,1981,1.0,0.0,2,1,4,1,2,8,7,1,4,1,1978.0,0,2.0,522.0,4,4,2,336,104,0,0,0,0,3,4,3,0,5,2010,9,4,230000,32,18,116.102978293791,Low Risk
236,905426060,30,4,85.0,10625,1,2,3,3,0,0,0,7,2,2,0,2,5,5,1920,1950,1,0,13,14,3,0.0,3,4,0,4,4,3,0,108.0,5,0.0,350.0,458.0,1,1,0,4,835,0,0,835,0.0,0.0,1,0,2,1,4,5,7,0,5,2,1920.0,2,1.0,366.0,1,4,2,0,0,77,0,0,0,3,4,2,400,5,2010,0,0,83000,90,60,99.40119760479044,High Risk
237,905426200,20,4,65.0,11479,1,2,3,3,0,4,0,7,2,2,0,2,6,7,1950,1987,1,0,13,10,3,0.0,3,4,1,4,4,3,2,104.0,4,387.0,172.0,663.0,1,0,1,4,1074,0,0,1074,1.0,0.0,1,0,3,1,2,6,7,1,4,1,1987.0,2,1.0,467.0,4,4,2,0,52,52,0,0,0,3,2,3,0,6,2010,9,4,144500,60,23,134.5437616387337,Medium Risk
238,905451320,20,4,68.0,9571,1,2,3,3,0,4,0,7,2,2,0,2,5,6,1956,1956,1,0,13,14,3,0.0,3,4,1,4,4,0,1,739.0,5,0.0,405.0,1144.0,1,4,1,4,1144,0,0,1144,1.0,0.0,1,0,3,1,4,6,7,0,5,1,1956.0,2,1.0,596.0,4,4,2,44,0,0,0,0,0,3,4,3,0,6,2010,9,4,129000,54,54,112.76223776223776,Medium Risk
239,905452110,50,4,50.0,9350,1,2,3,0,0,4,0,7,2,2,0,0,4,6,1947,1979,1,0,14,15,3,0.0,3,4,1,4,1,3,3,192.0,5,0.0,564.0,756.0,1,0,1,4,1169,0,362,1531,0.0,0.0,1,0,3,1,4,8,7,1,4,5,1947.0,2,1.0,209.0,1,4,2,0,0,0,0,0,0,3,2,3,0,6,2010,9,4,127000,63,31,82.9523187459177,High Risk
240,905452160,20,4,75.0,9525,1,2,3,3,0,4,0,7,2,2,0,2,5,7,1954,1998,1,0,14,15,3,0.0,3,4,1,4,4,0,1,954.0,5,0.0,218.0,1172.0,1,4,1,4,1172,0,0,1172,1.0,0.0,1,0,3,1,4,5,7,0,5,1,1954.0,0,1.0,366.0,4,4,2,240,0,0,0,0,0,3,4,3,0,6,2010,9,4,128000,56,12,109.21501706484642,Medium Risk
241,905453040,20,4,83.0,10420,1,2,3,3,0,0,0,7,2,2,0,2,6,5,2009,2009,1,0,12,13,3,0.0,3,4,2,2,4,2,2,36.0,5,0.0,1176.0,1212.0,1,0,1,4,1212,0,0,1212,0.0,0.0,2,0,3,1,2,6,7,0,5,1,2009.0,1,2.0,460.0,4,4,2,100,22,0,0,0,0,3,4,3,0,3,2010,9,4,186000,1,1,153.46534653465346,Low Risk
243,905475510,20,4,65.0,11200,1,2,0,3,0,1,0,7,2,2,0,2,5,3,1964,1964,1,0,13,14,3,0.0,3,1,1,4,4,2,5,0.0,5,0.0,1250.0,1250.0,1,0,1,4,1298,0,0,1298,0.0,0.0,2,0,3,1,4,5,7,0,5,5,1964.0,2,2.0,504.0,4,1,0,0,144,0,0,0,0,3,4,3,0,6,2010,0,4,114000,46,46,87.82742681047766,High Risk
244,905478190,20,4,60.0,11100,1,2,3,2,0,4,0,7,2,2,0,2,4,7,1946,2006,1,0,8,8,3,0.0,3,4,1,5,5,4,6,0.0,6,0.0,0.0,0.0,1,0,1,4,930,0,0,930,0.0,0.0,1,0,2,1,2,6,7,0,5,5,1946.0,2,1.0,308.0,4,4,2,0,0,0,0,0,0,3,4,3,0,4,2010,9,0,84900,64,4,91.29032258064515,Medium Risk
245,906201030,60,4,77.0,9206,1,2,3,3,0,4,0,23,2,2,0,5,6,5,1985,1985,1,0,6,6,1,336.0,2,4,1,2,4,3,5,0.0,5,0.0,741.0,741.0,1,4,1,4,977,755,0,1732,0.0,0.0,2,1,3,1,2,7,7,1,4,1,1985.0,0,2.0,476.0,4,4,2,192,46,0,0,0,0,3,4,3,0,6,2010,9,4,178000,25,25,102.77136258660508,High Risk
246,906201120,20,4,83.0,11980,1,2,3,2,0,4,1,23,2,2,0,2,7,5,1987,1987,1,0,9,10,1,177.0,2,4,1,2,4,1,2,1433.0,5,0.0,0.0,1433.0,1,0,1,4,1433,0,0,1433,1.0,0.0,1,1,1,1,2,4,7,2,4,1,1987.0,1,2.0,528.0,2,2,2,0,278,0,0,266,0,3,2,3,0,6,2010,9,4,270000,23,23,188.4159106769016,Low Risk
247,906204230,60,4,87.0,12361,1,2,0,3,0,1,0,23,2,2,0,5,6,7,1993,1993,1,0,12,13,1,85.0,2,2,2,2,4,3,2,860.0,5,0.0,86.0,946.0,1,0,1,4,964,838,0,1802,0.0,1.0,2,1,3,1,2,8,7,1,2,0,2000.0,1,4.0,1017.0,4,4,2,450,92,0,0,0,0,3,4,3,0,5,2010,9,4,218000,17,17,120.97669256381798,Low Risk
248,906223090,60,4,80.0,9938,1,2,3,3,0,4,0,23,2,2,0,5,7,5,1993,1994,1,0,8,8,1,246.0,2,4,2,2,4,3,2,750.0,5,0.0,300.0,1050.0,1,0,1,4,1062,887,0,1949,1.0,0.0,2,1,3,1,2,8,7,1,4,1,1993.0,0,2.0,574.0,4,4,2,156,90,0,0,0,0,3,0,3,0,6,2010,9,4,236000,17,16,121.0877373011801,Low Risk
249,906225210,85,4,73.0,9069,1,2,3,3,0,4,0,23,2,2,0,6,6,6,1992,1992,1,0,6,6,3,0.0,3,4,2,2,4,0,2,747.0,5,0.0,189.0,936.0,1,0,1,4,996,0,0,996,1.0,0.0,1,0,2,1,2,5,7,0,5,1,1992.0,2,2.0,564.0,4,4,2,120,0,0,0,0,0,3,4,3,0,4,2010,9,4,147000,18,18,147.59036144578317,Medium Risk
250,906378100,20,4,64.0,10475,1,2,0,3,0,0,0,5,2,2,0,2,8,5,2008,2008,1,0,12,13,2,72.0,2,4,2,2,4,0,5,0.0,5,0.0,1694.0,1694.0,1,0,1,4,1694,0,0,1694,0.0,0.0,2,0,3,1,2,7,7,0,5,1,2008.0,1,3.0,776.0,4,4,2,160,33,0,0,0,0,3,4,3,0,2,2010,9,4,245350,2,2,144.83471074380165,Low Risk
251,906380190,20,4,64.0,6762,1,2,3,3,0,4,0,5,2,2,0,2,7,5,2006,2006,1,0,12,13,2,24.0,2,4,2,2,4,0,2,686.0,5,0.0,501.0,1187.0,1,0,1,4,1208,0,0,1208,1.0,0.0,2,0,2,1,2,6,7,0,5,1,2006.0,1,2.0,632.0,4,4,2,105,61,0,0,0,0,3,4,3,0,2,2010,9,4,206000,4,4,170.52980132450332,Low Risk
252,906385010,20,4,94.0,10402,1,2,0,3,0,0,0,5,2,2,0,2,7,5,2009,2009,1,0,12,13,3,0.0,3,4,2,2,4,3,5,0.0,5,0.0,1226.0,1226.0,1,0,1,4,1226,0,0,1226,0.0,0.0,2,0,3,1,2,6,7,0,5,1,2009.0,1,3.0,740.0,4,4,2,0,36,0,0,0,0,3,4,3,0,5,2010,9,4,198900,1,1,162.23491027732464,Low Risk
253,906385020,20,4,64.0,7360,1,2,3,3,0,4,0,5,2,2,0,2,7,5,2010,2010,1,0,12,13,2,80.0,2,4,2,2,4,3,2,24.0,5,0.0,1198.0,1222.0,1,0,1,4,1222,0,0,1222,0.0,0.0,2,0,2,1,2,6,7,0,5,1,2009.0,1,2.0,615.0,4,4,2,0,54,0,0,0,0,3,4,3,0,3,2010,9,4,187000,0,0,153.0278232405892,Low Risk
255,906425045,50,4,82.0,14235,1,2,0,3,0,4,0,23,2,2,0,0,6,8,1900,1993,1,0,13,10,3,0.0,3,4,2,1,2,3,5,0.0,5,0.0,676.0,676.0,1,4,1,4,831,614,0,1445,0.0,0.0,2,0,3,1,4,6,7,0,5,5,1957.0,2,2.0,484.0,4,4,0,0,59,0,0,0,0,3,4,3,0,3,2010,9,4,138500,110,17,95.8477508650519,Medium Risk
256,906477110,80,4,80.0,8816,1,2,3,3,0,4,0,4,2,2,0,7,6,7,1971,1971,1,0,6,6,1,80.0,3,4,1,4,4,0,2,504.0,5,0.0,506.0,1010.0,1,2,1,4,1052,0,0,1052,1.0,0.0,1,0,3,1,4,6,7,0,5,1,1971.0,2,2.0,440.0,4,4,2,0,0,0,0,0,0,3,2,3,0,6,2010,9,4,155000,39,39,147.3384030418251,Medium Risk
257,907125090,85,4,82.0,11105,1,2,3,3,0,0,0,5,2,2,0,6,5,5,1996,1996,1,0,12,13,3,0.0,3,2,2,2,1,0,2,870.0,5,0.0,0.0,870.0,1,2,1,4,965,0,0,965,1.0,0.0,1,0,2,1,4,4,7,0,5,1,1998.0,2,2.0,580.0,2,4,2,71,0,0,0,0,0,3,0,3,0,7,2010,9,4,159000,14,14,164.76683937823833,Medium Risk
258,907180050,60,4,70.0,9337,1,2,0,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,0,12,13,3,0.0,3,4,2,2,4,3,0,353.0,5,0.0,525.0,878.0,1,0,1,4,892,800,0,1692,0.0,0.0,2,1,3,1,4,8,7,1,4,1,1997.0,1,2.0,513.0,4,4,2,0,39,0,0,0,0,3,4,3,0,4,2010,9,4,191000,13,12,112.8841607565012,Low Risk
259,907185060,60,4,70.0,8750,1,2,3,3,0,4,0,5,2,2,0,5,6,5,1998,1998,1,0,12,13,1,116.0,3,4,2,2,4,3,2,505.0,5,0.0,299.0,804.0,1,0,1,4,804,878,0,1682,0.0,0.0,2,1,3,1,2,7,7,0,5,1,1998.0,1,2.0,523.0,4,4,2,0,77,0,0,0,0,3,4,3,0,6,2010,9,4,200500,12,12,119.20332936979786,Low Risk
260,907200280,20,4,38.0,15240,1,2,0,3,0,2,0,5,2,2,0,2,5,8,1977,2004,1,0,5,5,3,0.0,2,2,1,2,4,3,2,198.0,4,688.0,140.0,1026.0,1,0,1,4,1026,0,0,1026,1.0,0.0,1,1,3,1,4,5,7,0,5,1,1977.0,2,1.0,308.0,4,4,2,316,85,0,0,0,0,3,2,3,0,6,2010,9,4,150000,33,6,146.19883040935673,Medium Risk
261,907200290,60,4,70.0,10900,1,2,0,3,0,2,0,5,2,2,0,5,6,7,1977,1977,1,0,6,6,1,153.0,3,4,1,2,4,3,2,378.0,5,0.0,311.0,689.0,1,0,1,4,689,703,0,1392,0.0,0.0,1,1,3,1,4,6,7,0,5,1,1977.0,0,1.0,299.0,4,4,2,0,36,0,0,0,0,3,2,2,450,3,2010,9,4,161750,33,33,116.19971264367815,Medium Risk
262,907200340,20,4,75.0,10650,1,2,3,3,0,0,0,5,2,2,0,2,5,6,1976,1976,1,0,6,6,3,0.0,3,4,1,4,2,0,3,182.0,0,712.0,0.0,894.0,1,4,1,4,894,0,0,894,1.0,0.0,1,0,3,1,4,5,7,0,5,1,1976.0,2,1.0,308.0,4,4,2,365,0,0,0,0,0,3,2,3,0,2,2010,9,4,128200,34,34,143.40044742729307,Medium Risk
263,907203070,20,4,68.0,7480,1,2,3,3,0,4,0,5,2,2,0,2,5,6,1972,1972,1,0,13,14,3,0.0,3,4,1,4,4,0,0,480.0,5,0.0,396.0,876.0,1,4,1,4,876,0,0,876,1.0,0.0,1,0,3,1,4,5,7,0,5,5,1977.0,2,2.0,484.0,4,4,2,0,0,0,0,0,0,3,2,3,0,6,2010,9,4,127000,38,38,144.97716894977168,Medium Risk
